Year,Original,Series or Movie,Films,Rating,Genre
2015.0,0.0,Series,27,6.885185185185185,FAMILY
2015.0,1.0,Series,3,6.566666666666666,FAMILY
2016.0,0.0,Movie,82,6.081707317073171,FAMILY
2016.0,0.0,Series,15,6.88,FAMILY
2016.0,1.0,Series,9,6.788888888888889,FAMILY
2017.0,0.0,Movie,83,6.081927710843374,FAMILY
2017.0,0.0,Series,22,6.668181818181819,FAMILY
2017.0,1.0,Movie,1,5.8,FAMILY
2017.0,1.0,Series,9,7.0,FAMILY
2018.0,0.0,Movie,79,6.0050632911392405,FAMILY
2018.0,0.0,Series,17,7.041176470588235,FAMILY
2018.0,1.0,Movie,4,6.275,FAMILY
2018.0,1.0,Series,17,7.0588235294117645,FAMILY
2019.0,0.0,Movie,71,5.940845070422536,FAMILY
2019.0,0.0,Series,19,6.9105263157894745,FAMILY
2019.0,1.0,Movie,6,6.316666666666666,FAMILY
2019.0,1.0,Series,6,7.7,FAMILY
2020.0,0.0,Movie,55,5.68,FAMILY
2020.0,0.0,Series,23,6.895652173913043,FAMILY
2020.0,1.0,Movie,7,5.985714285714286,FAMILY
2021.0,0.0,Movie,4,5.8,FAMILY
2021.0,0.0,Series,2,6.8500000000000005,FAMILY
2010.0,0.0,Movie,36,6.294444444444444,FANTASY
2010.0,0.0,Series,11,7.154545454545455,FANTASY
2011.0,0.0,Movie,40,6.409999999999999,FANTASY
2011.0,0.0,Series,13,7.723076923076923,FANTASY
2012.0,0.0,Movie,44,6.5181818181818185,FANTASY
2012.0,0.0,Series,24,7.4624999999999995,FANTASY
2012.0,1.0,Series,1,8.0,FANTASY
2013.0,0.0,Movie,46,6.5,FANTASY
2013.0,0.0,Series,20,7.33,FANTASY
2013.0,1.0,Series,1,8.0,FANTASY
2014.0,0.0,Movie,48,6.110416666666667,FANTASY
2014.0,0.0,Series,25,6.932,FANTASY
2015.0,0.0,Movie,49,6.114285714285715,FANTASY
2015.0,0.0,Series,35,7.174285714285714,FANTASY
2015.0,1.0,Series,2,6.75,FANTASY
2016.0,0.0,Movie,72,6.2125,FANTASY
2016.0,0.0,Series,41,7.380487804878049,FANTASY
2016.0,1.0,Movie,2,4.449999999999999,FANTASY
2016.0,1.0,Series,8,7.125,FANTASY
2017.0,0.0,Movie,99,6.072727272727273,FANTASY
2017.0,0.0,Series,42,7.147619047619047,FANTASY
2017.0,1.0,Movie,3,5.3999999999999995,FANTASY
2017.0,1.0,Series,6,6.966666666666666,FANTASY
2018.0,0.0,Movie,96,6.004166666666666,FANTASY
2018.0,0.0,Series,47,7.221276595744681,FANTASY
2018.0,1.0,Movie,7,6.114285714285714,FANTASY
2018.0,1.0,Series,16,7.19375,FANTASY
2019.0,0.0,Movie,63,6.26031746031746,FANTASY
2019.0,0.0,Series,45,7.291111111111111,FANTASY
2019.0,1.0,Movie,3,5.766666666666667,FANTASY
2019.0,1.0,Series,6,6.583333333333333,FANTASY
2020.0,0.0,Movie,21,5.733333333333333,FANTASY
